Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,order_date,unit_price,currency,unit_price_eur,quantity,gross_revenue_eur,returns_count,refund_amount,any_return_status,tickets_count,avg_sentiment,top_topic,is_returned,refund_rate
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.20,1,Paid,2023-11-24,919.2,EUR,919.2,1,919.2,0,0.0,,0,0.0,no_ticket,0,0.0
100061,2023-11-17,C0002,Electronics,Laptop X,"1598,23 EUR",1,Paid,2023-11-17,1598.23,EUR,1598.23,1,1598.23,0,0.0,,0,0.0,no_ticket,0,0.0
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,2023-12-14,23.86,EUR,23.86,1,23.86,0,0.0,,4,-1.0,defect_quality,0,0.0
100391,28/11/2023,C0001,Smart Home,NordTherm,$101.68,1,Paid,2023-11-28,101.68,USD,93.54560000000001,1,93.54560000000001,0,0.0,,0,0.0,no_ticket,0,0.0
100319,2023-11-27,C0004,Accessories,Phone Case,"35,72 EUR",1,Paid,2023-11-27,35.72,EUR,35.72,1,35.72,0,0.0,,0,0.0,no_ticket,0,0.0
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,2023-12-09,230.36,EUR,230.36,1,230.36,0,0.0,,0,0.0,no_ticket,0,0.0
100105,2023-11-19,C0056,Smart Home,NordCam Mini,"82,40 EUR",1,Paid,2023-11-19,82.4,EUR,82.4,1,82.4,0,0.0,,0,0.0,no_ticket,0,0.0
100603,2023-12-04,C0002,Electronics,Laptop X,"1771,94 EUR",1,Paid,2023-12-04,1771.94,EUR,1771.94,1,1771.94,0,0.0,,0,0.0,no_ticket,0,0.0
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,2023-11-28,210.88,EUR,210.88,1,210.88,0,0.0,,0,0.0,no_ticket,0,0.0
100563,2023-12-03,C0008,Electronics,Smartphone Z,855.14,1,Paid,2023-12-03,855.14,EUR,855.14,1,855.14,1,855.14,Processed,0,0.0,no_ticket,1,1.0
100366,2023-11-28,C0004,Electronics,Smartphone Z,1024.64,1,Paid,2023-11-28,1024.64,EUR,1024.64,1,1024.64,0,0.0,,0,0.0,no_ticket,0,0.0
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,2023-12-12,222.61,EUR,222.61,1,222.61,0,0.0,,0,0.0,no_ticket,0,0.0
100043,16/11/2023,C0002,Electronics,TV Pro,$1164.30,1,Paid,2023-11-16,1164.3,USD,1071.156,1,1071.156,0,0.0,,0,0.0,no_ticket,0,0.0
100725,2023-12-06,C0003,Accessories,Laptop Sleeve,27.13,2,Paid,2023-12-06,27.13,EUR,27.13,2,54.26,0,0.0,,0,0.0,no_ticket,0,0.0
100456,2023-11-30,C0001,Smart Home,NordTherm,"105,45 EUR",1,Paid,2023-11-30,105.45,EUR,105.45,1,105.45,0,0.0,,0,0.0,no_ticket,0,0.0
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,"290,46 EUR",1,Paid,2023-12-02,290.46,EUR,290.46,1,290.46,0,0.0,,1,0.0,delivery,0,0.0
101176,2023-11-24,C0017,Accessories,Phone Case,"34,84 EUR",1,Paid,2023-11-24,34.84,EUR,34.84,1,34.84,0,0.0,,0,0.0,no_ticket,0,0.0
101058,2023-12-13,C0001,Electronics,Laptop X,"1504,82 EUR",1,Paid,2023-12-13,1504.82,EUR,1504.82,1,1504.82,0,0.0,,0,0.0,no_ticket,0,0.0
100032,2023-11-16,C0094,Electronics,Laptop X,$1585.05,1,Paid,2023-11-16,1585.05,USD,1458.246,1,1458.246,0,0.0,,0,0.0,no_ticket,0,0.0
100455,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,2023-11-30,205.04,EUR,205.04,2,410.08,0,0.0,,3,-0.3333333333333333,defect_quality,0,0.0
100354,2023-11-28,C0002,Smart Home,NordLock Pro,"201,09 EUR",1,Paid,2023-11-28,201.09,EUR,201.09,1,201.09,0,0.0,,0,0.0,no_ticket,0,0.0
